protein_id	categories	category_count
P40344	protein_binding	1
Q9NZC2	protein_binding	1
Q9UBT2	protein_binding	1
P34808	protein_binding	1
P08621	protein_binding	1
Q15004	protein_binding,dna_binding	2
Q13485	protein_binding	1
P54936	protein_binding	1
P35236	protein_binding	1
O44326	protein_binding	1
P0AG67	protein_binding,rna_binding	2
Q9Z0U4	protein_binding	1
Q6NUK1	protein_binding,ion_binding	2
Q9NQS7	protein_binding	1
P13569	protein_binding	1
A4ZNR2	protein_binding	1
Q7L2J0	rna_binding	1
P80303	ion_binding	1
P00760	protein_binding	1
P07276	protein_binding	1
Q9UBB5	protein_binding	1
Q6F3E8	protein_binding	1
M1GUG5	protein_binding	1
P61765	protein_binding	1
Q96B97	protein_binding	1
Q9Z4N3	ion_binding	1
B8YB65	protein_binding,dna_binding	2
Q15796	protein_binding	1
Q91ZE9	protein_binding	1
Q07412	protein_binding	1
P15273	protein_binding	1
Q16611	protein_binding	1
Q8MWS6	dna_binding	1
P02686-5	protein_binding	1
D3TI84	rna_binding	1
Q8NBI3	protein_binding	1
P27782	dna_binding	1
P05318	protein_binding	1
Q9SLF3	protein_binding	1
O43474	protein_binding	1
Q9NS23-4	protein_binding	1
Q05471	protein_binding	1
Q70Q12	protein_binding	1
Q28181-4	protein_binding	1
P06837	protein_binding	1
Q9JZ38	protein_binding	1
P02631	ion_binding	1
P02783	protein_binding	1
P01106	protein_binding	1
Q13188	protein_binding	1
Q61337	protein_binding	1
P51671	protein_binding	1
O66683	protein_binding	1
Q8JUX6	protein_binding	1
Q9XWJ1	protein_binding	1
P39286	rna_binding	1
P0C079	protein_binding	1
O95197	protein_binding	1
Q07817	protein_binding	1
P55127	ion_binding	1
Q05344	protein_binding	1
P35193	protein_binding	1
P0DTD1	rna_binding,ion_binding	2
P24588	protein_binding	1
P49880	ion_binding	1
Q98157	protein_binding	1
P05452	protein_binding	1
Q9BQ50	dna_binding	1
Q9HB71-2	protein_binding	1
P21815	protein_binding	1
Q9UER7	protein_binding	1
E5LC01	protein_binding	1
P02628	ion_binding	1
Q6P8Z1	protein_binding	1
Q9C7W1	rna_binding,ion_binding	2
Q9JZN9	ion_binding	1
P05556	protein_binding	1
Q5JJ98	protein_binding	1
P21758	protein_binding	1
Q9L9I0	ion_binding	1
Q9Y6K1	dna_binding	1
Q16595	protein_binding	1
A1B602	protein_binding	1
Q60795	protein_binding	1
E6PBU9	dna_binding	1
Q15185	protein_binding	1
Q07889	protein_binding	1
P07305	protein_binding	1
Q9NQA5	protein_binding	1
P22179	protein_binding	1
Q9ZVD0	rna_binding	1
Q8WUG5	protein_binding	1
Q9QUG2	protein_binding	1
Q9A8N4	protein_binding	1
Q5RJL0	protein_binding	1
P03070	protein_binding	1
P07948	protein_binding	1
Q99250	protein_binding	1
Q8TEP8	protein_binding	1
P07548	protein_binding	1
C9ZXG5	protein_binding	1
O86488	ion_binding	1
Q92743	protein_binding	1
Q13541	protein_binding	1
Q13573	protein_binding	1
Q86FP8	protein_binding	1
P10279	rna_binding	1
P56621	protein_binding	1
O34800	protein_binding	1
Q9LUA9	protein_binding	1
D2JX42	ion_binding	1
Q9ES89	protein_binding	1
P45561	protein_binding	1
P02619	ion_binding	1
P35611	protein_binding	1
Q89933	protein_binding	1
P09077	protein_binding	1
P12464	protein_binding	1
O81283	protein_binding	1
P04608	protein_binding,rna_binding	2
Q6URW6	protein_binding	1
P40337	protein_binding	1
Q64364	protein_binding	1
P49723	protein_binding	1
Q38151	protein_binding	1
Q51912	protein_binding	1
P35869	protein_binding	1
P26663	protein_binding	1
P19634	ion_binding	1
Q9KJ82	protein_binding	1
O46385	protein_binding	1
Q969F2	protein_binding	1
Q8BHZ5	protein_binding,dna_binding	2
P09938	protein_binding	1
Q16629	protein_binding	1
P03126	protein_binding	1
P04198	protein_binding	1
P09883	protein_binding	1
Q9GZZ9	protein_binding	1
Q5QGG3	protein_binding	1
P35521	protein_binding	1
O75928	protein_binding	1
Q8GY88	protein_binding	1
Q05140	protein_binding	1
P11157	protein_binding	1
Q9UBP0	protein_binding	1
P52298	dna_binding	1
P0ABD8	protein_binding	1
Q8NEB9	protein_binding	1
Q9Y6C2	protein_binding	1
P08592	ion_binding	1
P50553	protein_binding	1
P47047	protein_binding,dna_binding	2
Q9Y6G9	protein_binding	1
O35625	protein_binding	1
O54918-2	protein_binding	1
O82775	protein_binding	1
B9KDD4	protein_binding	1
P15382	protein_binding	1
B2RLE7	protein_binding	1
Q2TUW1	ion_binding	1
O23764	protein_binding	1
Q14457	protein_binding	1
P35585	protein_binding	1
P06401	protein_binding	1
Q96F86	protein_binding	1
P42568	protein_binding	1
P12302	ion_binding	1
Q01094	protein_binding	1
Q9S446	ion_binding	1
Q9BUH6	protein_binding	1
Q04637	protein_binding	1
Q13351	protein_binding	1
Q92574	protein_binding	1
A0A3N4AZ09	ion_binding	1
O43521	protein_binding	1
P07221	ion_binding	1
P07355	protein_binding	1
P12497	protein_binding	1
Q15726	protein_binding	1
Q07812	protein_binding	1
P03050	protein_binding	1
P21707	protein_binding,ion_binding	2
Q6FI81	ion_binding	1
P51587	protein_binding	1
O75807	protein_binding	1
Q9HCJ0	protein_binding	1
Q14061	ion_binding	1
P13199	rna_binding	1
P36161	protein_binding	1
Q15046	rna_binding	1
Q15418	protein_binding	1
P09983	protein_binding	1
Q49AN0	protein_binding	1
O95433	protein_binding	1
Q69422	dna_binding	1
Q99LM3	protein_binding	1
P16035	protein_binding	1
Q05917	protein_binding	1
C0J347	dna_binding,rna_binding	2
P68363	protein_binding	1
P59595	dna_binding,rna_binding	2
P09012	dna_binding,rna_binding	2
P0DTC3	protein_binding	1
Q02521	protein_binding	1
P45985	protein_binding	1
P46674	protein_binding	1
P37231	protein_binding	1
P46527	protein_binding	1
P0ABQ4	protein_binding	1
Q4LE39	dna_binding	1
Q9WIK7	protein_binding	1
P06454	protein_binding,ion_binding	2
O89339	protein_binding	1
O88513	protein_binding	1
P00740	ion_binding	1
Q9SIN5	protein_binding	1
P80428	protein_binding	1
O92972	protein_binding	1
A6NF83	protein_binding	1
Q42512	protein_binding	1
Q05753	protein_binding	1
P01050	protein_binding	1
O94742	protein_binding	1
O60568	ion_binding	1
P15146-3	protein_binding	1
P70604	protein_binding	1
Q9H0E2	protein_binding	1
P40205	protein_binding	1
Q06787	protein_binding,dna_binding,rna_binding	3
P10451	protein_binding,ion_binding	2
P13693	protein_binding	1
Q3U8S1	protein_binding	1
P9WHJ5	protein_binding	1
Q99IB8	protein_binding	1
P47110	protein_binding	1
Q6P5W5	ion_binding	1
Q9IK91	protein_binding	1
P17096	protein_binding,dna_binding,rna_binding	3
P06132	protein_binding	1
P78953	protein_binding	1
Q00987	protein_binding	1
P0AES9	protein_binding	1
Q8N6T7	dna_binding	1
Q9NR28	protein_binding	1
P9WJA9	protein_binding	1
Q9NVS9	protein_binding	1
Q9R194	protein_binding	1
P18615	rna_binding	1
Q8RNT4	protein_binding	1
P63000	protein_binding	1
P08294	protein_binding	1
A0A142G2L5	protein_binding	1
Q15910	protein_binding,rna_binding	2
Q16143	protein_binding	1
P41236	protein_binding	1
Q8IY63	protein_binding	1
P29083	protein_binding	1
P30130	protein_binding	1
Q47184	protein_binding	1
P29274	protein_binding	1
P62552	protein_binding	1
P0CF51	protein_binding	1
Q96ST2	protein_binding	1
P42224	protein_binding	1
O31851	ion_binding	1
P00742	protein_binding	1
O82132	protein_binding	1
P04083	protein_binding,ion_binding	2
Q96SD1	protein_binding	1
Q06263	protein_binding	1
Q0B311	protein_binding	1
P12296	protein_binding	1
P53853	protein_binding	1
P04271	protein_binding,ion_binding	2
P16535	protein_binding	1
Q7Q3R9	protein_binding	1
P25299	protein_binding	1
Q14691	protein_binding	1
Q96IZ0	protein_binding	1
Q9I322	protein_binding	1
Q811T9	protein_binding	1
F1NGB1	ion_binding	1
O66858	protein_binding	1
P32917	protein_binding	1
O96013	protein_binding	1
P07766	protein_binding	1
P0A4T9	protein_binding	1
Q08605	protein_binding	1
P01042	protein_binding	1
P72975	protein_binding	1
P00441	ion_binding	1
Q13617	protein_binding	1
P12520	protein_binding	1
P21579	ion_binding	1
P08392	dna_binding	1
P06701	protein_binding	1
Q8TEA8	dna_binding	1
I7MK25	protein_binding	1
P24522	protein_binding	1
G3V7P1	protein_binding	1
D6PZY5	protein_binding	1
P52272	protein_binding	1
Q9DBZ9	protein_binding	1
Q8N726-1	protein_binding	1
O55000	protein_binding	1
P53355	protein_binding	1
Q6R327	protein_binding	1
Q9LQT8	protein_binding	1
P85800	protein_binding	1
P22531	protein_binding	1
Q05127	protein_binding	1
P15340	dna_binding,ion_binding	2
P53927	rna_binding	1
P55211	protein_binding	1
Q9LL46	protein_binding	1
Q9KMA5	protein_binding	1
P03045	protein_binding,rna_binding	2
P04234	protein_binding	1
B6KJB6	protein_binding	1
O75112-6	protein_binding	1
Q06696	protein_binding	1
O61380	protein_binding	1
P39935	protein_binding,rna_binding	2
O55777	protein_binding	1
O00273	protein_binding	1
P27797	protein_binding	1
Q99967	protein_binding	1
Q13029	protein_binding	1
Q24298	protein_binding	1
A8CDV5	protein_binding	1
P0DTC9	protein_binding,rna_binding	2
Q72500	protein_binding	1
Q9ERC1	protein_binding	1
Q9HAV4	rna_binding	1
P02666	ion_binding	1
P83916	dna_binding	1
P20893	rna_binding	1
P04150	protein_binding	1
J7FTI7	protein_binding,dna_binding	2
J7QA90	protein_binding	1
P06748	protein_binding,rna_binding	2
P91870	protein_binding	1
Q02297-10	ion_binding	1
Q00169	protein_binding	1
O35613	protein_binding	1
Q15382	protein_binding	1
Q9NZ94	protein_binding	1
Q9JM54	protein_binding	1
Q07666	protein_binding,rna_binding	2
P06935	dna_binding,rna_binding	2
Q5D1E7	rna_binding	1
P32504	dna_binding	1
P35222	protein_binding	1
Q9BTL3	protein_binding	1
Q13043	protein_binding	1
Q9BS26	protein_binding	1
Q92886	dna_binding	1
Q9NR61	protein_binding	1
O14140	protein_binding,ion_binding	2
P0DJ89	protein_binding	1
P27001	rna_binding	1
Q9H981	protein_binding	1
P34087	protein_binding	1
O43313	protein_binding	1
Q9WMX2	protein_binding,rna_binding	2
P03406	protein_binding	1
